date,pression de la boucle,vide bouilleur,niveau bouilleur,depression,temperature E,temperature S,debit 29%,debit 54%,pression calendre,ampérage AP04
03-Jan-23 06:00:00,2.191393614,112.8535233,92.69979858,,91.37056732,85.90087891,54.96274185,21.09657478,1.171860576,34.43021774
03-Jan-23 07:00:00,2.186433554,109.6426392,92.88883209,,89.79025269,84.93345642,55.07967758,22.99969482,0.941965044,34.43021774
03-Jan-23 08:00:00,2.178823233,109.4527817,92.75361633,,88.78019714,83.81357574,55.05109787,23.02670479,0.910066247,34.43021774
03-Jan-23 09:00:00,2.196139097,108.6783218,92.93740082,,88.48629761,83.46152496,55.02822876,23.18966484,0.874003589,34.43021774
03-Jan-23 10:00:00,2.192923307,108.3136063,92.59976196,,88.07830811,83.3463974,55.04458618,22.99114418,0.875648022,34.43021774
03-Jan-23 11:00:00,2.198287964,108.8520508,92.4109726,,88.22683716,83.10614014,54.94248199,25.83080864,0.9230479,34.43021774
03-Jan-23 12:00:00,2.18424201,110.110817,92.61535645,,88.38194275,83.36486816,55.00211716,25.94301987,0.94325608,34.43021774
03-Jan-23 13:00:00,2.178929329,108.2996368,92.29975891,,88.1534729,83.05644989,54.98204422,25.97991943,0.941033959,34.43021774
03-Jan-23 14:00:00,2.184111834,109.020874,92.65460205,,88.01748657,82.64504242,54.99436951,25.94413185,0.922009587,34.43021774
03-Jan-23 15:00:00,2.165673733,109.9902878,92.60977936,,88.37158203,83.11132813,54.95344543,24.16517258,1.019042492,34.43021774
03-Jan-23 16:00:00,2.17407918,109.042305,92.4865036,,88.70217133,83.33338165,55.00134277,23.94074821,1.029981852,34.43021774
03-Jan-23 17:00:00,2.167523623,109.2469559,92.6230545,,89.02950287,83.62680817,55.00524521,23.95120239,1.064601898,34.43021774
03-Jan-23 18:00:00,2.16758275,110.1483383,92.43704224,,89.34249115,84.10762024,55.0214119,23.05258942,1.069575191,34.43021774
03-Jan-23 19:00:00,2.162067413,107.68116,92.78147125,,89.50231171,84.11305237,54.97548676,22.92539406,1.070892334,34.43021774
03-Jan-23 20:00:00,2.169783831,105.2379608,92.12857056,,88.16884613,83.33792114,55.02012634,23.07444,0.97032392,34.43021774
03-Jan-23 21:00:00,2.18429327,107.5469437,92.58927917,,89.95191956,84.64485168,54.97147369,23.02796364,1.102860332,34.43021774
03-Jan-23 22:00:00,2.17492795,107.9369965,92.57857513,,89.92583466,84.71691895,55.01191711,23.01208305,1.101430893,34.43021774
03-Jan-23 23:00:00,2.174586535,108.2219543,92.4932251,,89.80865479,84.70044708,55.00668335,23.01335526,1.099066734,34.43021774
04-Jan-23 00:00:00,2.189340591,105.7579651,92.59145355,,89.71744537,84.60697174,55.05275345,23.92645836,1.104320884,34.43021774
04-Jan-23 01:00:00,2.186029911,106.8934174,92.43035889,,90.02892303,84.65548706,55.00905609,23.94913101,1.09438014,34.43021774
04-Jan-23 02:00:00,2.186398506,107.1274567,92.22596741,,89.89530945,84.66492462,54.94613266,23.99622154,1.06726408,34.43021774
04-Jan-23 03:00:00,2.171497345,105.7409821,92.48708344,,89.74491119,84.45576477,55.00756073,24.13678741,1.104171753,34.43021774
04-Jan-23 04:00:00,2.174781561,105.6740875,92.77376556,,89.73951721,84.75052643,54.96878052,22.93107033,1.108072996,34.43021774
04-Jan-23 05:00:00,2.182782412,106.9607544,92.50289917,,89.72351074,84.57601166,54.96163177,22.99801445,1.096976638,34.43021774
04-Jan-23 06:00:00,2.179352522,106.8042679,92.66029358,,90.02048492,84.7327652,54.87771606,22.91801643,1.102317929,34.43021774
04-Jan-23 07:00:00,2.175635338,105.3960266,92.70966339,,89.81645203,84.66458893,55.06483459,22.82877731,1.124341607,34.43021774
04-Jan-23 08:00:00,2.188372374,105.0018616,92.52865601,,90.01432037,84.63985443,54.9895668,22.82691574,1.087259889,34.43021774
