date,pression de la boule,vide bouilleur,niveau bouilleur,depression,temperature E,temperature S,debit 29% E,debit54% S ,pression calendre,amperage AP04
03-Jan-23 14:00:00,2.404712677,94.67288971,90.52529144,,88.08522034,84.01811218,0.021417532,Configure,0.00,14.14231682
03-Jan-23 15:00:00,2.390699387,93.60875702,90.80832672,,88.40029144,84.34021759,0.025125135,Configure,0.00,14.15753841
03-Jan-23 16:00:00,2.389147997,93.33329773,90.50808716,,88.60548401,84.43209839,0.023623437,Configure,0.00,13.90414429
03-Jan-23 17:00:00,2.381233692,93.53421021,90.98501587,,88.89414978,84.72392273,0.023060342,Configure,0.00,14.16727829
03-Jan-23 18:00:00,2.358718157,93.80948639,90.4691925,,88.92787933,84.74404907,0.023914838,Configure,0.00,14.1858511
03-Jan-23 19:00:00,2.364125013,93.07220459,90.95669556,,89.05897522,84.86391449,0.02178565,Configure,0.00,14.1278801
03-Jan-23 20:00:00,2.372561216,90.63739777,89.96060944,,88.54016876,84.35813904,0.024084361,Configure,0.00,13.97391796
03-Jan-23 21:00:00,2.380054951,91.5138855,90.52437592,,89.46507263,85.28334808,0.021560136,Configure,0.00,14.21737194
03-Jan-23 22:00:00,2.38625145,90.51046753,90.1828537,,89.60536957,85.49346924,0.021783914,Configure,0.00,14.02118015
03-Jan-23 23:00:00,2.390065908,89.83899689,90.30718231,,89.66352844,85.55704498,0.022120817,Configure,0.00,14.15457058
04-Jan-23 00:00:00,2.406771898,89.3896637,90.38414764,,89.75016785,85.63135529,0.022593314,Configure,0.00,14.21180725
04-Jan-23 01:00:00,2.407997608,89.10573578,90.61992645,,89.93621063,85.81238556,0.023810271,Configure,0.00,14.22618961
04-Jan-23 02:00:00,2.400799036,88.90419769,90.14484406,,90.01040649,85.93019867,0.024205925,Configure,0.00,14.27279854
04-Jan-23 03:00:00,2.399726629,88.08575439,89.84526062,,90.08052063,85.95877075,0.028497368,Configure,0.00,14.22324562
04-Jan-23 04:00:00,2.395060062,88.94552612,90.32759094,,90.01496887,85.90314484,0.02384048,Configure,0.00,14.1625576
04-Jan-23 05:00:00,2.401177645,87.54455566,90.35905457,,90.07385254,86.03684998,0.023712497,Configure,0.00,14.21420288
04-Jan-23 06:00:00,2.398365736,88.47200012,90.33105469,,90.15434265,86.05187225,0.024756145,Configure,0.00,14.31992149
04-Jan-23 07:00:00,2.405235529,88.73173523,89.96377563,,90.1013031,85.95998383,0.023412813,Configure,0.00,14.31992245
04-Jan-23 08:00:00,2.408285618,88.27949524,90.63282013,,90.07662201,85.9760437,0.023896018,Configure,0.00,14.38407993
04-Jan-23 09:00:00,2.404861212,88.50935364,90.2795105,,90.13291931,86.04499817,0.023413483,Configure,0.00,14.08219814
04-Jan-23 10:00:00,2.401566744,86.7324295,90.16848755,,89.99980927,85.89466858,0.022173336,Configure,0.00,14.26332378
04-Jan-23 11:00:00,2.405592203,88.48510742,90.1053009,,90.0318222,85.94050598,0.02180977,Configure,0.00,14.38206005
04-Jan-23 12:00:00,2.396095037,90.93080139,90.33470154,,90.25126648,86.17446136,0.023115352,Configure,0.00,14.30612946
04-Jan-23 13:00:00,2.395529509,91.46689606,90.0892334,,90.33719635,86.29564667,0.021821389,Configure,0.00,14.21655178
04-Jan-23 14:00:00,2.398085117,93.54973602,90.24043274,,89.95902252,86.01630402,0.024502803,Configure,0.00,14.25287151
04-Jan-23 15:00:00,2.401349306,92.36813354,90.25016785,,89.76348877,85.85530853,0.025748948,Configure,0.00,14.21284866
04-Jan-23 16:00:00,2.382590055,92.86997986,90.54957581,,89.70202637,85.77011871,0.0227242,Configure,0.00,14.26887798
04-Jan-23 17:00:00,2.379602432,94.50754547,90.18822479,,89.70435333,85.70847321,0.022876456,Configure,0.00,14.21700573
04-Jan-23 18:00:00,2.390391111,92.47789001,90.59999084,,89.86197662,85.87688446,0.024803365,Configure,0.00,14.21234512
04-Jan-23 19:00:00,2.405030489,91.05937958,90.24506378,,89.81006622,85.79621124,0.022689752,Configure,0.00,14.1298933
04-Jan-23 20:00:00,2.375597239,91.37291718,89.91832733,,90.11989594,86.1157608,0.022262581,Configure,0.00,14.03315639
04-Jan-23 21:00:00,2.390143156,90.4509964,89.93232727,,89.92941284,85.91107178,0.021348814,Configure,0.00,14.16681671
04-Jan-23 22:00:00,2.394774199,89.45362091,89.70543671,,89.83174133,85.80515289,0.0256372,Configure,0.00,14.15018749
04-Jan-23 23:00:00,2.398098469,89.16093445,90.40597534,,89.75289154,85.76752472,0.024195729,Configure,0.00,14.17040825
05-Jan-23 00:00:00,2.39891839,88.57691193,89.93708038,,89.78916168,85.74098969,0.024016215,Configure,0.00,14.22049522
05-Jan-23 01:00:00,2.377224207,87.97451782,89.88252258,,89.63896942,85.58571625,0.028207624,Configure,0.00,14.25059223
05-Jan-23 02:00:00,2.407300472,87.70672607,90.17337799,,89.48697662,85.45298767,0.02587007,Configure,0.00,14.22472668
05-Jan-23 03:00:00,2.410492659,87.10681915,90.66606903,,89.38132477,85.31040955,0.027788658,Configure,0.00,14.32279205
05-Jan-23 04:00:00,2.411623001,87.29499054,90.08760834,,89.35417175,85.32052612,0.027088782,Configure,0.00,14.22505283
05-Jan-23 05:00:00,2.408569098,86.41361237,90.22650146,,89.21348572,85.15193939,0.0245046,Configure,0.00,14.28615284
05-Jan-23 06:00:00,2.397053242,86.18267059,90.18219757,,89.204216,85.16280365,0.024963833,Configure,0.00,14.277215
05-Jan-23 07:00:00,2.399105549,85.59777069,90.00577545,,89.20932007,85.19937897,0.026366754,Configure,0.00,14.39336395
05-Jan-23 08:00:00,2.401161909,85.11393738,89.97988129,,89.10535431,85.02185059,0.021703396,Configure,0.00,14.28206444
05-Jan-23 09:00:00,2.388669968,83.99479675,90.34285736,,88.98574066,84.89111328,0.020197107,Configure,0.00,14.3703537
05-Jan-23 10:00:00,2.39754796,83.347435,90.0526886,,88.94113159,84.89979553,0.021899495,Configure,0.00,14.1917572
05-Jan-23 11:00:00,2.399991274,85.92197418,90.03219604,,89.07431793,85.0177002,0.020927863,Configure,0.00,14.27428341
05-Jan-23 12:00:00,2.40059495,88.12299347,90.0938797,,89.37267303,85.36701965,0.022193594,Configure,0.00,14.37434769
05-Jan-23 13:00:00,2.385389566,90.1662674,90.47736359,,89.42783356,85.46824646,0.022169031,Configure,0.00,14.38751888
05-Jan-23 14:00:00,2.408759117,91.69657898,90.139328,,89.79478455,85.84133911,0.0235186,Configure,0.00,14.17328548
05-Jan-23 15:00:00,2.390901327,91.77526093,90.52243042,,89.89794922,85.98400116,0.02655354,Configure,0.00,14.1126318
05-Jan-23 16:00:00,2.397168398,92.17545319,90.15048218,,89.93671417,85.90907288,0.023128273,Configure,0.00,14.28895569
05-Jan-23 17:00:00,2.381575584,91.55472565,90.05175781,,89.06221771,84.94500732,0.024136562,Configure,0.00,14.24004173
05-Jan-23 18:00:00,2.389044046,91.18158722,90.21876526,,88.2987442,84.11206818,0.024730811,Configure,0.00,14.15838623
